transaction_id,user_id,user_name,spend_date,price,category,description
97035e84-9544-4448-b15c-65af7e02fe50,U001_Frugal,Rahul Sharma,2023-01-01,60000,Income,Salary Credit
0fd1f387-e037-424a-bc0f-d996c1f2670c,U001_Frugal,Rahul Sharma,2023-01-01,143,Shopping,Croma Electronics
2990838d-c62c-49d4-bf8c-5fd38a29d94e,U002_HighEMI,Priya Mehta,2023-01-01,85000,Income,Salary Credit
f18905da-d172-46a1-9e6a-26af323d5103,U002_HighEMI,Priya Mehta,2023-01-01,378,Transport,IndiGo Flight
5622f94b-3f76-4f36-8afe-b8c5eb95fa19,U002_HighEMI,Priya Mehta,2023-01-01,339,Transport,Rapido
56fa15c7-0fc6-45ea-97a5-6de51afee7bf,U002_HighEMI,Priya Mehta,2023-01-01,152,Entertainment,BookMyShow
424c786e-b349-43ca-b0f9-5883a66278d1,U002_HighEMI,Priya Mehta,2023-01-01,225,Entertainment,Goa Trip
c73f558f-8727-41b4-b952-eb53ea7967fb,U003_Wealthy,Vikram Oberoi,2023-01-01,350000,Income,Salary Credit
092c3a50-e207-4034-9280-1af54551629d,U003_Wealthy,Vikram Oberoi,2023-01-01,5178,Food,BigBasket
8d6ed0e8-a4fb-49c5-825d-52394ff06adb,U003_Wealthy,Vikram Oberoi,2023-01-01,1069,Utilities,Tata Power
d085025f-a999-40d6-b31f-36ea7158bec6,U004_Poor,Sunita Devi,2023-01-01,18000,Income,Freelance Payment
65f23fe3-2d76-4476-9f3b-19519992acd3,U005_Freelancer,Arjun Kapoor,2023-01-01,50045,Income,Consulting Fee
e20837f6-5572-4a6d-8d32-bbb4fdc402f6,U005_Freelancer,Arjun Kapoor,2023-01-01,660,Utilities,Jio Broadband
771af6eb-5701-4d80-9977-6ffca0b16474,U001_Frugal,Rahul Sharma,2023-01-02,416,Food,BigBasket
70acda3f-751d-4a51-8ebc-0dbaf7be4503,U003_Wealthy,Vikram Oberoi,2023-01-02,5189,Food,Starbucks
228a5b2c-349b-4109-8381-5ca1e374e735,U003_Wealthy,Vikram Oberoi,2023-01-02,1077,Utilities,MSEB Electric Bill
bad5d91e-9f61-4180-917e-b3313feda590,U005_Freelancer,Arjun Kapoor,2023-01-02,1835,Shopping,H&M
134186d3-2581-4e9f-86da-dd2097db3c9b,U001_Frugal,Rahul Sharma,2023-01-03,481,Food,Local Dhaba
86256b2a-ea34-4ebe-b047-3ee3170a0730,U001_Frugal,Rahul Sharma,2023-01-03,502,Food,BigBasket
3fb5500c-4c31-403f-9a60-248e279e9844,U001_Frugal,Rahul Sharma,2023-01-03,432,Food,BigBasket
08caa997-cd8e-4ba9-84b7-c024eae39ab1,U004_Poor,Sunita Devi,2023-01-03,1187,Food,Blinkit
7a0be7f3-9f0c-46a7-a554-65acc7195774,U005_Freelancer,Arjun Kapoor,2023-01-03,1851,Shopping,H&M
c8c6a98c-6c0c-4bc4-b6f8-6320bbdf8025,U001_Frugal,Rahul Sharma,2023-01-04,491,Food,BigBasket
1b88c621-cb0d-4b00-b54d-bf2f6572bf7e,U001_Frugal,Rahul Sharma,2023-01-04,427,Food,Starbucks
a5458e6c-300d-4b6b-beed-bf92040bf918,U001_Frugal,Rahul Sharma,2023-01-04,290,Utilities,Jio Broadband
